skip,take,totalCount,records
0,100,4522,"{'event': {'startDate': '2023-06-27T20:00:00+02:00', 'endDate': '2023-06-27T20:00:00+02:00'}, 'location': {'decimalLatitude': 60.46342, 'decimalLongitude': 15.44451}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-06-06T06:04:00+02:00', 'endDate': '2023-06-06T06:04:00+02:00'}, 'location': {'decimalLatitude': 67.13015, 'decimalLongitude': 23.05879}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-01T08:10:00+02:00', 'endDate': '2023-07-01T08:20:00+02:00'}, 'location': {'decimalLatitude': 60.66982, 'decimalLongitude': 17.12712}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-06-27T10:15:00+02:00', 'endDate': '2023-06-27T10:15:00+02:00'}, 'location': {'decimalLatitude': 60.66982, 'decimalLongitude': 17.12712}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-06-19T18:00:00+02:00', 'endDate': '2023-06-19T18:00:00+02:00'}, 'location': {'decimalLatitude': 59.28115, 'decimalLongitude': 15.22918}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-06-10T00:00:00+02:00', 'endDate': '2023-06-10T23:59:59+02:00'}, 'location': {'decimalLatitude': 57.00321, 'decimalLongitude': 13.93637}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-01T14:00:00+02:00', 'endDate': '2023-07-01T14:00:00+02:00'}, 'location': {'decimalLatitude': 62.61397, 'decimalLongitude': 18.03205}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-07-01T14:00:00+02:00', 'endDate': '2023-07-01T14:30:00+02:00'}, 'location': {'decimalLatitude': 60.67064, 'decimalLongitude': 17.12279}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-05-13T00:00:00+02:00', 'endDate': '2023-05-13T23:59:59+02:00'}, 'location': {'decimalLatitude': 63.20607, 'decimalLongitude': 14.7081}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-04-21T12:00:00+02:00', 'endDate': '2023-04-21T13:00:00+02:00'}, 'location': {'decimalLatitude': 59.10561, 'decimalLongitude': 15.47618}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-04-28T00:00:00+02:00', 'endDate': '2023-04-28T23:59:59+02:00'}, 'location': {'decimalLatitude': 60.71567, 'decimalLongitude': 17.14492}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-05-29T10:50:00+02:00', 'endDate': '2023-05-29T10:50:00+02:00'}, 'location': {'decimalLatitude': 62.80511, 'decimalLongitude': 13.06459}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-05-26T10:01:00+02:00', 'endDate': '2023-05-26T10:03:00+02:00'}, 'location': {'decimalLatitude': 58.3524, 'decimalLongitude': 15.23891}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-05-21T07:30:00+02:00', 'endDate': '2023-05-21T07:30:00+02:00'}, 'location': {'decimalLatitude': 56.7471, 'decimalLongitude': 16.64816}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-04-20T14:00:00+02:00', 'endDate': '2023-04-20T14:00:00+02:00'}, 'location': {'decimalLatitude': 60.60198, 'decimalLongitude': 17.98769}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-04-03T00:00:00+02:00', 'endDate': '2023-04-03T23:59:59+02:00'}, 'location': {'decimalLatitude': 56.64395, 'decimalLongitude': 15.32145}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-03-10T13:20:00+01:00', 'endDate': '2023-03-10T13:40:00+01:00'}, 'location': {'decimalLatitude': 65.8234, 'decimalLongitude': 21.77066}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-03-28T06:46:00+02:00', 'endDate': '2023-03-28T06:46:00+02:00'}, 'location': {'decimalLatitude': 55.64455, 'decimalLongitude': 14.12083}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-04-21T13:41:00+02:00', 'endDate': '2023-04-21T13:41:00+02:00'}, 'location': {'decimalLatitude': 59.44777, 'decimalLongitude': 17.90852}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
0,100,4522,"{'event': {'startDate': '2023-04-30T16:50:00+02:00', 'endDate': '2023-04-30T16:50:00+02:00'}, 'location': {'decimalLatitude': 59.38096, 'decimalLongitude': 13.41388}, 'taxon': {'id': 100090, 'vernacularName': 'nötkråka'}}"
